geo,nace_r2,AIIE_Index,Total_Employment
RO,B,0.3543673199680281,45.599999999999994
RO,C,0.32118201486173087,1540.6
RO,D,0.414981682236229,68.3
RO,E,0.28480852621238906,108.19999999999999
RO,F,0.31219303716971597,765.3000000000001
RO,G,0.46276233033595987,1381.9
RO,H,0.32783361439548553,555.5
RO,I,0.4714029479007421,181.7
RO,J,0.6768128516428994,197.7
RO,K,0.6687175716658603,105.6
RO,L,0.5472552910052909,14.9
RO,M,0.7045653321446991,211.0
RO,N,0.4474791924977393,196.2
RO,O,0.5674634221789521,372.9
RO,P,0.6810342281169095,353.0
RO,Q,0.6144212856456603,440.8
RO,R,0.5993992115842735,59.0
RO,S,0.49366701199183427,111.89999999999999
RO,T,0.19085775335775337,16.7
RS,A,0.24349115621897707,390.6
RS,B,0.3739573000133734,33.5
RS,C,0.3398862453415203,557.3
RS,D,0.433894784893846,35.2
RS,E,0.3758453571353365,42.4
RS,F,0.3137928371287891,167.3
RS,G,0.48395906607854483,376.0
RS,H,0.4033789712771969,152.79999999999998
RS,I,0.4599505168748074,98.1
RS,J,0.6636146331392363,110.0
RS,K,0.646077768374431,50.199999999999996
RS,L,0.5823456109170394,3.7
RS,M,0.6670988671715035,112.8
RS,N,0.4156929101986843,62.4
RS,O,0.5807903711167767,132.4
RS,P,0.6482510669952813,177.3
RS,Q,0.5737712933218069,171.1
RS,R,0.6074948384818415,59.9
RS,S,0.4726756890481041,50.1
RS,T,0.3717345253249508,9.4
SE,A,0.274734337812301,88.30000000000001
SE,B,0.23080540858318635,4.7
SE,C,0.4669321364153915,490.3
SE,D,0.5957238375846609,31.7
SE,E,0.34491579125454874,16.9
SE,F,0.34826791307490135,332.7
SE,G,0.5029728295363858,534.1
SE,H,0.38520064345822835,205.7
SE,I,0.4096375009936341,157.2
SE,J,0.7122139684192064,307.09999999999997
SE,K,0.6482302952431921,118.8
SE,L,0.5608345874214633,95.19999999999999
SE,M,0.6603854177671312,526.9
SE,N,0.45462530681213353,244.7
SE,O,0.650931008973595,401.8
SE,P,0.6659796529090934,573.9
SE,Q,0.5943536628279948,757.6
SE,R,0.6042979081440073,118.60000000000001
SE,S,0.5580285169626958,125.9
SI,A,0.22410889613787155,37.6
SI,B,0.2308054085831864,1.1
SI,C,0.3926901822424392,214.0
SI,D,0.5506505048601361,7.6
SI,E,0.3434307182826058,12.2
SI,F,0.3430450181121295,55.4
SI,G,0.5074711174814682,112.80000000000001
SI,H,0.4177108419740383,46.0
SI,I,0.44758590606628823,37.3
SI,J,0.7012623249917488,35.1
SI,K,0.6514287660498422,22.3
SI,L,0.547255291005291,1.8
SI,M,0.6546527424572072,67.2
SI,N,0.3909188794524683,30.7
SI,O,0.6481160373494541,51.4
SI,P,0.6721980435962404,95.2
SI,Q,0.6007764758452274,79.9
SI,R,0.6269972352698776,18.7
SI,S,0.539728157154842,18.6
SK,A,0.23338638952418303,34.3
SK,C,0.35684661332948375,621.9
SK,D,0.40657304666854216,15.200000000000001
SK,F,0.3262022176762815,253.8
SK,G,0.4953098492984544,315.3
SK,H,0.3941710783903597,156.10000000000002
SK,I,0.45963236015296854,77.6
SK,J,0.6715404938410892,105.6
SK,K,0.6618542081437694,62.2
SK,L,0.547255291005291,8.2
SK,M,0.6693616859042049,88.7
SK,N,0.43263257195668864,34.1
SK,O,0.5804014226877168,184.1
SK,P,0.6388343018654467,217.8
SK,Q,0.5637378053488166,186.7
SK,R,0.6560815664148997,16.5
SK,S,0.46073738137230197,22.8
TR,A,0.225922630127845,4813.7
TR,B,0.34568520873856023,155.3
TR,C,0.3368274594646474,6163.599999999999
TR,D,0.4487108268950739,129.2
TR,E,0.273320110914241,217.5
TR,F,0.31587812699908785,1845.6
TR,G,0.4561747920612466,4363.2
TR,H,0.3486561308866692,1492.6000000000001
TR,I,0.43297888286189595,1692.3
TR,J,0.6468104133193038,283.1
TR,K,0.6165785172541471,316.1
TR,L,0.4911986121570171,328.8
TR,M,0.6508934280959788,943.0
TR,N,0.3996405101098562,1102.9
TR,O,0.522773036308996,1815.6000000000001
TR,P,0.6721179162853665,1902.6
TR,Q,0.5549883134149538,1840.3
TR,R,0.5577882658764116,153.1
TR,S,0.4182379231059813,812.5
TR,T,0.3756432088671143,129.8
TR,U,0.5311106379360347,5.3
